name,image,availability,deckcode,type,subtype,rarity,attribute,class,cost,power,health,uses,ability,aactivate,activate,aassemble,assemble,banish,abattle,battle,beastform,abetray,betray,abreakthrough,breakthrough,change,acharge,charge,aconsume,consume,copy,acover,cover,adrain,drain,aempower,empower,aequip,equip,aexalt,exalt,aexpertise,expertise,aguard,guard,aheal,heal,ainvade,invade,alastgasp,lastgasp,alethal,lethal,amobilize,mobilize,amove,move,apilfer,pilfer,plot,aprophecy,prophecy,arally,rally,aregenerate,regenerate,asacrifice,sacrifice,ashackle,shackle,shout,asilence,silence,aslay,slay,steal,asummon,summon,transform,atreasurehunt,treasurehunt,uniqueability,unsummon,aveteran,veteran,award,ward,awaxwane,waxwane,awounded
Aldmeri Patriot,LG-card-Aldmeri Patriot.png,Core,am,Creature,High Elf,Rare,Willpower,,1,1,2,,Summon: +1/+1 if you have an action in your hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Aldmeri Spellwright,LG-card-Aldmeri Spellwright.png,Tamriel Collection,Bm,Creature,High Elf,Epic,,Aldmeri Dominion,5,3,6,,"When your opponent takes damage, you gain 1 magicka this turn.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldora the Daring,LG-card-Aldora the Daring.png,Clockwork City,an,Creature,Nord,Legendary,Strength,,3,3,3,,"Treasure Hunt – Action, Creature, Item, Support: +6/+6 When a friendly treasure hunter finds something, summon Skywag or give Skywag +1/+1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
Alduin,LG-card-Alduin.png,Heroes of Skyrim,ao,Creature,Dragon,Legendary,Neutral,,20,12,12,,"Cost 2 less for each Dragon in your discard pile. Summon: Destroy all other creatures. At the start of your turn, summon a random dragon from your discard pile.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
Alfiq Conjurer,LG-card-Alfiq Conjurer.png,Moons of Elsweyr,vD,Creature,Khajiit,Legendary,Intelligence,,6,3,3,,"Guard Summon: Consume a creature to summon a Flame Atronach. If you consumed an Atronach, instead summon a Storm Atronach.",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Alfiq Illusionist,LG-card-Alfiq Illusionist.png,Moons of Elsweyr,wR,Creature,Khajiit,Rare,Willpower,,3,2,1,,Wax: Summon an Alfiq Illusionist in the other lane. Wane: +1/+2 and Guard.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Alik'r Survivalist,LG-card-Alik'r Survivalist.png,Core,ar,Creature,Redguard,Epic,Strength,,4,3,4,,"Summon: Put a Steel Dagger into your hand. When Alik'r Survivalist equips an item, he gains +1/+1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Allena Benoch,LG-card-Allena Benoch.png,Core,as,Creature,Wood Elf,Legendary,,Archer,6,1,1,,Lethal Summon: Deal 1 damage. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Almalexia,LG-card-Almalexia.png,Houses of Morrowind,at,Creature,God,Legendary,Endurance,,7,6,6,,Exalt 3: +6/+6. Friendly Exalted creatures are immune to damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Almalexia's Disciple,LG-card-Almalexia's Disciple.png,Houses of Morrowind,au,Creature,Dark Elf,Rare,Endurance,,2,2,3,,Exalt 2: Heal all friendly creatures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Wolf,LG-card-Alpha Wolf.png,Core,av,Creature,Wolf,Epic,Willpower,,4,3,1,,Other friendly Wolves have +2/+0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Altar of Despair,LG-card-Altar of Despair.png,Madhouse Collection,aw,Support,,Legendary,Neutral,,6,,,12,"Activate: Sacrifice a creature to summon a creature from your deck that costs 1, then increase the cost of creatures this summons by 1.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Altar of Spellmaking,LG-card-Altar of Spellmaking.png,Tamriel Collection,AY,Support,"",Epic,,The Guildsworn,2,"","",Ongoing,"At the end of each turn, if you played a creature, action, item, and support, play the top card of your deck.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altmer Dragonknight,LG-card-Altmer Dragonknight.png,Monthly Card,ax,Creature,High Elf,Epic,,Mage,3,3,2,,"At the end of your turn, if you played an action, Altmer Dragonknight gains +2/+2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Altmer Flameslinger,LG-card-Altmer Flameslinger.png,Alliance War,sw,Creature,High Elf,Common,Intelligence,,2,1,3,,"Ward At the start of your turn, Altmer Flameslinger deals 1 damage to your opponent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,
Ambitious Hireling,LG-card-Ambitious Hireling.png,Houses of Morrowind,ay,Creature,Wood Elf,Common,Willpower,,2,1,1,,Summon: Give another friendly creature power and health equal to Ambitious Hireling's power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
An-Xileel Invader,LG-card-An-Xileel Invader.png,Core,az,Creature,Argonian,Common,Agility,,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancano,LG-card-Ancano.png,Heroes of Skyrim,aA,Creature,High Elf,Legendary,Intelligence,,8,5,5,,Breakthrough Summon: Deal 5 damage.  Your actions have Breakthrough.,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
Ancestor's Battleaxe,LG-card-Ancestor's Battleaxe.png,Heroes of Skyrim,aB,Item,,Epic,Strength,,7,,,,+4/+4 Summon: Give the top creature of your deck +4/+4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Ancestral Dead,LG-card-Ancestral Dead.png,Houses of Morrowind,aC,Creature,Skeleton,Common,Endurance,,3,2,4,,Slay: Summon a Risen Dead.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Ancient Lookout,LG-card-Ancient Lookout.png,Heroes of Skyrim,aD,Creature,Skeleton,Common,Endurance,,2,2,3,,"When you summon a Dragon, summon a 1/1 Draugr Sentry with Guard.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angry Grahl,LG-card-Angry Grahl.png,Core,aE,Creature,Troll,Epic,Endurance,,4,2,4,,Regenerate Summon: +2/+2 if your opponent has more cards in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,
Apex Predator,LG-card-Apex Predator.png,Moons of Elsweyr,wz,Creature,Khajiit,Epic,Agility,,5,5,5,,"When Apex Predator moves, deal 2 damage to your opponent and you gain 2 health. At the end of your turn, if there are no enemy creatures in this lane, move Apex Predator.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Apex Wolf,LG-card-Apex Wolf.png,FrostSpark Collection,aF,Creature,Wolf,Epic,Willpower,,6,4,4,,"Breakthrough, Drain Last Gasp: Draw the top creature of your deck and give it Breakthrough and Drain.",,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apprentice Necromancer,LG-card-Apprentice Necromancer.png,Monthly Card,xb,Creature,Imperial,Epic,,Spellsword,3,3,3,,Summon: Summon a 1-cost creature from your discard pile.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Arcanaeum Librarian,LG-card-Arcanaeum Librarian.png,Clockwork City,aI,Creature,Orc,Common,Intelligence,,2,0,2,,Gains +1/+0 when you draw a card during your turn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Arcane Enchanter,LG-card-Arcane Enchanter.png,Heroes of Skyrim,aH,Support,,Epic,Intelligence,,3,,,Ongoing,"When you draw an item, give it a random Keyword.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archcanon Saryoni,LG-card-Archcanon Saryoni.png,Houses of Morrowind,aJ,Creature,Dark Elf,Legendary,,Tribunal Temple,4,3,3,,Summon: Choose a blessing from one of the Tribunal gods. Exalt 3: Gain all three blessings instead.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Archein Elite,LG-card-Archein Elite.png,Core,aK,Creature,Argonian,Rare,Endurance,,4,3,5,,Lethal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archein Venomtongue,LG-card-Archein Venomtongue.png,Core,aM,Creature,Argonian,Rare,Endurance,,4,1,4,,Lethal Slay: Gain +1 max magicka.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Archer's Gambit,LG-card-Archer's Gambit.png,Heroes of Skyrim,aN,Action,,Rare,,Archer,3,,,,"Move a friendly creature. Then, it deals 1 damage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arenthia Guerrilla,LG-card-Arenthia Guerrilla.png,Jaws of Oblivion,xk,Creature,Wood Elf,Common,Agility,,3,3,4,,Lethal on your opponent's turn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arenthia Swindler,LG-card-Arenthia Swindler.png,Core,aO,Creature,Khajiit,Epic,Agility,,3,2,2,,Summon: Steal all items from an enemy creature.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
Arise,LG-card-Arise.png,Moons of Elsweyr,wP,Action,,Common,Endurance,,2,,,,Prophecy Summon a 1/1 Risen Dead with Guard in each lane.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armored Troll,LG-card-Armored Troll.png,Dawnguard,"",Creature,Troll,Epic,,Spellsword,5,3,7,,Regenerate Armored Troll is immune to damage on your turn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrest,LG-card-Arrest.png,Heroes of Skyrim,aP,Action,,Rare,Willpower,,7,,,,"Steal an enemy creature. It loses Guard, and is permanently Shackled.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Arrow in the Knee,LG-card-Arrow in the Knee.png,Core,aQ,Action,,Common,Agility,,1,,,,Shackle a creature and deal 1 damage to it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Arrow Storm,LG-card-Arrow Storm.png,Core,aR,Action,,Rare,Willpower,,3,,,,Destroy all enemy creatures with 2 power or less in a lane.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artaeum Savant,LG-card-Artaeum Savant.png,Core,aS,Creature,High Elf,Epic,Willpower,,3,1,4,,"After you play an action, give a random friendly creature +1/+1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Ascended Sleeper,LG-card-Ascended Sleeper.png,Houses of Morrowind,aT,Creature,Ash Creature,Rare,,House Dagoth,6,3,6,,"Guard At the end of your turn, if you have a creature with 5 power or more, reduce the cost of all creatures in your hand by 1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Ash Berserker,LG-card-Ash Berserker.png,Houses of Morrowind,aU,Creature,Ash Creature,Rare,Strength,,4,3,3,,"At the end of your turn, if you have a creature with 5 power or more, draw a card.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Ash Oppressor,LG-card-Ash Oppressor.png,Houses of Morrowind,aV,Creature,Ash Creature,Common,Agility,,3,4,3,,"Summon: If you have a creature with 5 power or more, Shackle an enemy creature.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
Ash Piercer,LG-card-Ash Piercer.png,Houses of Morrowind,aW,Creature,Ash Creature,Rare,Intelligence,,5,3,4,,Summon: Deal 3 damage to a creature if you have a creature with 5 power or more.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Ash Servant,LG-card-Ash Servant.png,Core,aX  ,Creature,Ash Creature   ,Rare,Intelligence ,,4,2,2,,Summon: Deal 2 damage to a creature.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1  ,,,,,,,,,,,,
Ashlander Punisher,LG-card-Ashlander Punisher.png,Monthly Card,aZ,Creature,Dark Elf,Epic,,Archer,4,5,4,,Breakthrough Pilfer and Slay: +1/+0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Ashlander Zealot,LG-card-Ashlander Zealot.png,Houses of Morrowind,bc,Creature,Dark Elf,Common,Strength,,1,1,2,,Summon: Battle an enemy creature.,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Aspect of Hircine,LG-card-Aspect of Hircine.png,Houses of Morrowind,bd,Creature,Werewolf,Legendary,Strength,,9,6,6,,Summon: Choose one: Strength: +6/+6 and Guard. Speed: Gains Charge.,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Assassin Beetle,LG-card-Assassin Beetle.png,Alliance War,tv,Creature,Beast,Rare,Agility,,5,2,2,,Prophecy Summon: Play a Prophecy from your hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Assassin's Bow,LG-card-Assassin's Bow.png,Core,be,Item,,Rare,Strength,,3,,,,+3/+0 Summon: Give the wielder Cover at the end of turn.,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Assassin's Ritual,LG-card-Assassin's Ritual.png,Heroes of Skyrim,bf,Action,,Rare,,Assassin,3,,,,Give a creature Lethal and Ward.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Assembled Conduit,LG-card-Assembled Conduit.png,Clockwork City,bg,Creature,Factotum,Common,Neutral,,5,3,3,,Assemble: +1/+0 and Breakthrough or +0/+1 and Regenerate.,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Assembled Sanitizer,LG-card-Assembled Sanitizer.png,Clockwork City,bh,Creature,Factotum,Common,Neutral,,3,1,2,,Assemble: +2/+0 or Lethal.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembled Sentry,LG-card-Assembled Sentry.png,Clockwork City,bi,Creature,Factotum,Common,Neutral,,2,1,1,,Assemble: +0/+2 or Guard.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembled Titan,LG-card-Assembled Titan.png,Clockwork City,bj,Creature,Factotum,Legendary,Neutral,,6,4,4,,"Assemble: Choose two: +2/+0, +0/+2, deal 2 damage to your opponent, or you gain 2 health.",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrid,LG-card-Astrid.png,Dark Brotherhood,bk,Creature,Nord,Legendary,Agility,,3,2,3,,"Lethal Friendly Lethal creatures have ""Slay: Put a Completed Contract into your hand. """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,
Attuned Dremora,LG-card-Attuned Dremora.png,Jaws of Oblivion,yD,Creature,Daedra,Rare,Intelligence,,5,4,5,,Summon: Gain all Keywords friendly creatures have.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Aundae Clan Sorcerer,LG-card-Aundae Clan Sorcerer.png,Houses of Morrowind,bl,Creature,Vampire,Legendary,Endurance,,3,4,3,,"At the end of your turn, if three or more creatures died this turn, put a random Blood Magic Spell into your hand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Auridon Paladin,LG-card-Auridon Paladin.png,Core,bm,Creature,High Elf,Common,Willpower,,4,4,4,,"When you play an action, Auridon Paladin gains Drain this turn.",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Auroran Sentry,LG-card-Auroran Sentry.png,Core,bn,Creature,Daedra,Legendary,Willpower,,8,5,7,,"Guard When Auroran Sentry is dealt damage, you gain that much health.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awakened Dreamer,LG-card-Awakened Dreamer.png,Houses of Morrowind,bo,Creature,Dark Elf,Rare,Agility,,2,2,3,,"At the end of your turn, if you have a creature with 5 power or more, Awakened Dreamer gains +1/+1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Awakened Imperfect,LG-card-Awakened Imperfect.png,Clockwork City,bp,Creature,Automaton,Rare,Neutral,,8,8,8,,"Breakthrough, Guard",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayleid Guardian,LG-card-Ayleid Guardian.png,Monthly Card,yW,Creature,Defense,Epic,,Scout,11,8,8,,Guard Immune to Lethal. Summon: Summon an Ayleid Guardian in the other lane.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Ayrenn,LG-card-Ayrenn.png,Core,bq,Creature,High Elf,Legendary,,Mage,5,5,5,,Summon: Draw a random action from your discard pile. Your actions cost 1 less.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
Ayrenn's Chosen,LG-card-Ayrenn's Chosen.png,Alliance War,tb,Action,,Epic,,Aldmeri Dominion,6,,,,Summon a random 1/1 Recruit in each lane and give them Guard. Empower: +1/+1.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ayrenn, Dominion Queen","LG-card-Ayrenn, Dominion Queen.png",Alliance War,sx,Creature,High Elf,Legendary,,Aldmeri Dominion,8,6,6,,"Drain Summon: Draw a random action from your discard pile. When you draw an action on your turn, deal 1 damage to your opponent.",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
